,probe_id,request_ntp,request_capture,resp_delta_capture,response_orig_ts,response_capture,resp_proc_time,response_reference_timestamp,response_transmit_timestamp,response_transmit_minus_reference,response_reference_valid,request_ntp_equals_response_orig_ts
29,1007439,2025-07-11 07:36:55.672115,2025-07-11 07:36:55.696063,0.02394843101501465,2025-07-11 07:36:55.672115,2025-07-11 07:36:55.696266,-2.7e-05,2025-07-11 07:35:55.696239,2025-07-11 07:36:55.696239,60.0,True,True
30,1010876,2025-07-11 07:36:55.878161,2025-07-11 07:36:55.925716,0.047554969787597656,2025-07-11 07:36:55.878161,2025-07-11 07:36:55.925930,-2.6e-05,2025-07-11 07:35:55.925904,2025-07-11 07:36:55.925904,60.0,True,True
31,1010876,2025-07-11 07:36:55.973107,2025-07-11 07:36:56.020645,0.047537803649902344,2025-07-11 07:36:55.973107,2025-07-11 07:36:56.020811,-2.6e-05,2025-07-11 07:35:56.020785,2025-07-11 07:36:56.020785,60.0,True,True
32,1010876,2025-07-11 07:36:56.068429,2025-07-11 07:36:56.115985,0.047556161880493164,2025-07-11 07:36:56.068429,2025-07-11 07:36:56.116172,-1.8e-05,2025-07-11 07:35:56.116154,2025-07-11 07:36:56.116154,60.0,True,True
33,1004704,2025-07-11 07:35:10.867667,2025-07-11 07:36:56.005628,105.13796067237854,2025-07-11 07:35:10.867667,2025-07-11 07:36:56.005816,-2.3e-05,2025-07-11 07:35:56.005793,2025-07-11 07:36:56.005793,60.0,True,True
34,1004704,2025-07-11 07:35:10.953617,2025-07-11 07:36:56.091490,105.13787245750427,2025-07-11 07:35:10.953617,2025-07-11 07:36:56.091681,-2.2e-05,2025-07-11 07:35:56.091659,2025-07-11 07:36:56.091659,60.0,True,True
35,1004704,2025-07-11 07:35:11.039623,2025-07-11 07:36:56.177609,105.1379861831665,2025-07-11 07:35:11.039623,2025-07-11 07:36:56.177775,-3.1e-05,2025-07-11 07:35:56.177744,2025-07-11 07:36:56.177744,60.0,True,True
36,1008530,2025-07-11 07:36:56.084284,2025-07-11 07:36:56.095850,0.011566638946533203,2025-07-11 07:36:56.084284,2025-07-11 07:36:56.096036,-2e-05,2025-07-11 07:35:56.096016,2025-07-11 07:36:56.096016,60.0,True,True
37,1008530,2025-07-11 07:36:56.101356,2025-07-11 07:36:56.112638,0.011281967163085938,2025-07-11 07:36:56.101356,2025-07-11 07:36:56.112858,-2.5e-05,2025-07-11 07:35:56.112833,2025-07-11 07:36:56.112833,60.0,True,True
38,1008530,2025-07-11 07:36:56.118209,2025-07-11 07:36:56.129236,0.011026620864868164,2025-07-11 07:36:56.118209,2025-07-11 07:36:56.129415,-2.1e-05,2025-07-11 07:35:56.129394,2025-07-11 07:36:56.129394,60.0,True,True
39,1004827,2025-07-11 07:36:56.225714,2025-07-11 07:36:56.297371,0.07165646553039551,2025-07-11 07:36:56.225714,2025-07-11 07:36:56.297540,-2.1e-05,2025-07-11 07:35:56.297519,2025-07-11 07:36:56.297519,60.0,True,True
40,1004827,2025-07-11 07:36:56.367658,2025-07-11 07:36:56.439356,0.07169818878173828,2025-07-11 07:36:56.367658,2025-07-11 07:36:56.439540,-2.2e-05,2025-07-11 07:35:56.439518,2025-07-11 07:36:56.439518,60.0,True,True
41,1004827,2025-07-11 07:36:56.509935,2025-07-11 07:36:56.581128,0.07119274139404297,2025-07-11 07:36:56.509935,2025-07-11 07:36:56.581309,-2.2e-05,2025-07-11 07:35:56.581287,2025-07-11 07:36:56.581287,60.0,True,True
42,1006239,2025-07-11 07:36:56.276079,2025-07-11 07:36:56.371217,0.0951383113861084,2025-07-11 07:36:56.276079,2025-07-11 07:36:56.371400,-2.2e-05,2025-07-11 07:35:56.371378,2025-07-11 07:36:56.371378,60.0,True,True
43,1006239,2025-07-11 07:36:56.466470,2025-07-11 07:36:56.561484,0.09501409530639648,2025-07-11 07:36:56.466470,2025-07-11 07:36:56.561685,-1.6e-05,2025-07-11 07:35:56.561669,2025-07-11 07:36:56.561669,60.0,True,True
44,1006239,2025-07-11 07:36:56.656627,2025-07-11 07:36:56.751649,0.09502148628234863,2025-07-11 07:36:56.656627,2025-07-11 07:36:56.751878,-2.1e-05,2025-07-11 07:35:56.751857,2025-07-11 07:36:56.751857,60.0,True,True
45,1003161,2025-07-11 07:36:56.496011,2025-07-11 07:36:56.560963,0.06495237350463867,2025-07-11 07:36:56.496011,2025-07-11 07:36:56.561168,-2.5e-05,2025-07-11 07:35:56.561143,2025-07-11 07:36:56.561143,60.0,True,True
46,1003161,2025-07-11 07:36:56.620744,2025-07-11 07:36:56.685716,0.0649721622467041,2025-07-11 07:36:56.620744,2025-07-11 07:36:56.685933,-2.1e-05,2025-07-11 07:35:56.685912,2025-07-11 07:36:56.685912,60.0,True,True
47,1003161,2025-07-11 07:36:56.744423,2025-07-11 07:36:56.799594,0.05517101287841797,2025-07-11 07:36:56.744423,2025-07-11 07:36:56.799821,-2.3e-05,2025-07-11 07:35:56.799798,2025-07-11 07:36:56.799798,60.0,True,True
48,1004862,2025-07-11 07:36:56.699728,2025-07-11 07:36:56.766130,0.06640195846557617,2025-07-11 07:36:56.699728,2025-07-11 07:36:56.766308,-1.9e-05,2025-07-11 07:35:56.766289,2025-07-11 07:36:56.766289,60.0,True,True
49,1004862,2025-07-11 07:36:56.830986,2025-07-11 07:36:56.897384,0.06639766693115234,2025-07-11 07:36:56.830986,2025-07-11 07:36:56.897602,-4.5e-05,2025-07-11 07:35:56.897557,2025-07-11 07:36:56.897557,60.0,True,True
50,1004862,2025-07-11 07:36:56.969482,2025-07-11 07:36:57.035961,0.06647872924804688,2025-07-11 07:36:56.969482,2025-07-11 07:36:57.036131,-2.4e-05,2025-07-11 07:35:57.036107,2025-07-11 07:36:57.036107,60.0,True,True
51,1006605,2025-07-11 07:36:56.904714,2025-07-11 07:36:56.916169,0.011454582214355469,2025-07-11 07:36:56.904714,2025-07-11 07:36:56.916469,-2.9e-05,2025-07-11 07:35:56.916440,2025-07-11 07:36:56.916440,60.0,True,True
52,1006605,2025-07-11 07:36:56.943066,2025-07-11 07:36:56.954135,0.011068582534790039,2025-07-11 07:36:56.943066,2025-07-11 07:36:56.954332,-2.3e-05,2025-07-11 07:35:56.954309,2025-07-11 07:36:56.954309,60.0,True,True
53,1006605,2025-07-11 07:36:56.982238,2025-07-11 07:36:56.993413,0.011174917221069336,2025-07-11 07:36:56.982238,2025-07-11 07:36:56.993628,-3.9e-05,2025-07-11 07:35:56.993589,2025-07-11 07:36:56.993589,60.0,True,True
54,1009253,2025-07-11 07:36:57.304787,2025-07-11 07:36:57.410564,0.10577726364135742,2025-07-11 07:36:57.304787,2025-07-11 07:36:57.410829,-2.3e-05,2025-07-11 07:35:57.410806,2025-07-11 07:36:57.410806,60.0,True,True
55,1009253,2025-07-11 07:36:57.633365,2025-07-11 07:36:57.739049,0.10568428039550781,2025-07-11 07:36:57.633365,2025-07-11 07:36:57.739211,-2.3e-05,2025-07-11 07:35:57.739188,2025-07-11 07:36:57.739188,60.0,True,True
56,1009253,2025-07-11 07:37:01.633863,2025-07-11 07:37:01.739685,0.10582184791564941,2025-07-11 07:37:01.633863,2025-07-11 07:37:01.739899,-2.4e-05,2025-07-11 07:36:01.739875,2025-07-11 07:37:01.739875,60.0,True,True
